asset_name,name_variants_merged,sponsor(s),trial_count,phases_seen,statuses_seen,earliest_trial_start,most_recent_update,nct_ids
Laybon Tab.,,"Mather's Pharm. Co., Ltd.",1,PHASE4,NOT_YET_RECRUITING,2025-12,2025-10-02,NCT07203547
Hyaluronic and corticosteroid injection,,ArthroBiologix Inc.,1,NA,RECRUITING,2024-05-01,2025-10-02,NCT06653985
Platelet-rich plasma (PRP),,ArthroBiologix Inc.,1,PHASE4,ACTIVE_NOT_RECRUITING,2019-10-01,2025-09-30,NCT04111718
SclerFIX-IP,,TBF Genie Tissulaire,2,PHASE2,RECRUITING,2024-05-28,2025-09-30,NCT06038331; NCT06034262
HB-adMSC,,Hope Biosciences Research Foundation,1,,NO_LONGER_AVAILABLE,,2025-09-29,NCT04604288
allogeneic engineered Gingival Fibroblasts (aeGF),,Scarcell Therapeutics S.A.S.,1,PHASE1,RECRUITING,2025-08-14,2025-09-23,NCT06690710
ANT-301,,"Anterogen Co., Ltd.",1,PHASE1,ACTIVE_NOT_RECRUITING,2024-10-22,2025-09-22,NCT06539429
TTAX03,,"BioTissue Holdings, Inc",1,PHASE2,COMPLETED,2021-12-06,2025-09-19,NCT05079035
OA-SYS,,"Ageless Biotech, Inc.",1,PHASE2,RECRUITING,2025-05-21,2025-09-18,NCT06485843
allogeneic human adipose-derived mesenchymal stem cells,,Magellan Stem Cells,1,PHASE3,NOT_YET_RECRUITING,2025-11,2025-09-12,NCT07106229
Diclofenac sodium active topical patch,,"Noven Pharmaceuticals, Inc.",1,PHASE3,COMPLETED,2020-12-29,2025-09-04,NCT04683627
XSTEM-OA,,Xindu Pty Ltd,1,"PHASE1,PHASE2",COMPLETED,2022-06-22,2025-08-26,NCT05344157
NCR100,NCR100 injection,"Nuwacell Biotechnologies Co., Ltd.",3,"PHASE1; PHASE1,PHASE2",NOT_YET_RECRUITING; UNKNOWN,2024-01-25,2025-08-24,NCT06049342; NCT07139431; NCT06741098
Vutiglabridin,,Glaceum,1,PHASE2,RECRUITING,2025-08-19,2025-08-15,NCT06845553
PPV-06,PPV-06 10 μg; PPV-06 50 μg,Peptinov SAS,3,PHASE1; PHASE2,COMPLETED; NOT_YET_RECRUITING,2021-02-18,2025-08-12,NCT06605963; NCT04447898; NCT04447898
GNSC-001,,Genascence Corporation,1,PHASE1,ACTIVE_NOT_RECRUITING,2023-06-12,2025-08-01,NCT05835895
transient immune-modulation,,Genascence Corporation,2,PHASE1,ACTIVE_NOT_RECRUITING,2023-06-12,2025-08-01,NCT05835895; NCT05835895
Pentosan Polysulphate Sodium,,Paradigm Biopharmaceuticals Ltd.,1,,COMPLETED,2023-06-24,2025-07-22,NCT04814719
Sodium Hyaluronate,Hyalgan (sodium hyaluronate); Sodium Hyaluronate Injection; Sodium hyaluronate; sodium hyaluronate,"CAR-T (Shanghai) Biotechnology Co., Ltd.; Daiichi Sankyo; Kunming Baker Norton Pharmaceutical Sales Co., Ltd.; Sanofi; Shanghai AbelZeta Ltd.; Shanghai Qisheng Biological Preparation Co., Ltd.; Wuxi Cellular Biopharmaceutical Group Ltd.",10,EARLY_PHASE1; PHASE2; PHASE3; PHASE4,COMPLETED; RECRUITING; TERMINATED; UNKNOWN,2002-01,2025-07-16,NCT06570291; NCT02162693; NCT02855073; NCT02323451; NCT00330135; NCT00130468; NCT02826031; NCT04130100; NCT00377624; NCT00830830
4P-004,,4Moving Biotech,1,PHASE1,COMPLETED,2022-08-09,2025-06-26,NCT05419856
FB1003,,4B Technologies Limited,1,PHASE1,RECRUITING,2024-04-07,2025-06-15,NCT06343714
Artra,,NPO Petrovax,1,NA,COMPLETED,2022-03-21,2025-06-03,NCT06032442
Fulranumab 1 mg,Fulranumab 3 mg,"Janssen Research & Development, LLC",8,PHASE3,COMPLETED,2015-03-25,2025-04-29,NCT02301234; NCT02301234; NCT02336685; NCT02336685; NCT02289716; NCT02289716; NCT02336698; NCT02336698
Celecoxib + Acetaminohen,,Laboratorios Silanes S.A. de C.V.,1,PHASE3,RECRUITING,2024-09-09,2025-04-04,NCT06863636
Celecoxi + Acetaminophen,,Laboratorios Silanes S.A. de C.V.,1,PHASE3,RECRUITING,2024-09-09,2025-04-04,NCT06863636
