asset_name,name_variants_merged,sponsor(s),trial_count,phases_seen,statuses_seen,earliest_trial_start,most_recent_update,nct_ids
BEMA Buprenorphine,,BioDelivery Sciences International,1,PHASE3,COMPLETED,2011-03,2018-08-07,NCT01298765
Experimental: 3VM1001 active 3g Cream 3 times daily,Experimental: 3VM1001 active 2g Cream 3 times daily,"CDA Research Group, Inc.",2,"PHASE1,PHASE2",COMPLETED,2017-04-30,2018-07-06,NCT03142178; NCT03142178
Experimental: 3VM1001 active 3g Cream 4 times daily,,"CDA Research Group, Inc.",1,"PHASE1,PHASE2",COMPLETED,2017-04-30,2018-07-06,NCT03142178
TissueGene-C,TissueGene-C (High dose); TissueGene-C (Low dose); TissueGene-C(High dose); TissueGene-C(Low dose); TissueGene-C(Medium dose),"Kolon Life Science; Kolon TissueGene, Inc.",11,PHASE1; PHASE2; PHASE3,COMPLETED,2007-01,2018-07-05,NCT02341378; NCT02341378; NCT01825811; NCT01825811; NCT01671072; NCT02341391; NCT02341391; NCT02341391; NCT00599248; NCT01221441; NCT02072070
CartiLife®,,"Biosolution Co., Ltd.",1,PHASE2,COMPLETED,2014-02-03,2018-06-04,NCT03545269
CartiLife,,"Biosolution Co., Ltd.",1,PHASE1,COMPLETED,2012-07-17,2018-05-07,NCT03517046
Humia inj.,,"Huons Co., Ltd.",1,PHASE3,COMPLETED,2016-08,2018-04-12,NCT02893098
High hyal Plus inj.,,"Huons Co., Ltd.",1,PHASE3,COMPLETED,2016-08,2018-04-12,NCT02893098
Cannabis,,Prairie Plant Systems Inc.,1,PHASE2,UNKNOWN,2015-06,2018-04-05,NCT02324777
Traumeel® / Zeel® Injectable Solution,,Biologische Heilmittel Heel GmbH,1,PHASE3,COMPLETED,2013-06,2018-04-02,NCT01887678
Invossa K Inj.,,Kolon Life Science,1,PHASE3,UNKNOWN,2018-02-12,2018-03-07,NCT03383471
ONO-4474,ONO-4474 Part A1; ONO-4474 Part A2; ONO-4474 Part B; ONO-4474 Part C; ONO-4474 Part D,"Ono Pharmaceutical Co., Ltd.",6,PHASE1; PHASE2,COMPLETED; TERMINATED,2015-05,2018-02-26,NCT02454387; NCT02454387; NCT02454387; NCT02454387; NCT02454387; NCT02997696
TT-173,,Thrombotargets Europe S.L,1,"PHASE2,PHASE3",UNKNOWN,2016-01,2018-02-22,NCT02687399
CF101,,Can-Fite BioPharma,1,PHASE2,WITHDRAWN,2018-11,2018-02-01,NCT00837291
Nucynta ER,,"Janssen Scientific Affairs, LLC",1,PHASE4,WITHDRAWN,2012-08,2018-01-25,NCT01631513
Intra articular infusion of AD-SVF,,Ageless Regenerative Institute,1,NA,TERMINATED,2014-03-01,2017-11-24,NCT01739504
Naproxen 500-mg Capsules,Naproxen 500-mg capsules,Purdue Pharma LP,2,PHASE2,COMPLETED; TERMINATED,2012-09,2017-11-22,NCT01688934; NCT02847702
VM902A 200-mg Capsules,,Purdue Pharma LP,1,PHASE2,TERMINATED,2016-08,2017-11-22,NCT02847702
VM902A 400-mg Capsules,,Purdue Pharma LP,1,PHASE2,TERMINATED,2016-08,2017-11-22,NCT02847702
OLT1177 Gel,,"Olatec Therapeutics, Inc.",2,PHASE2,COMPLETED,2013-01,2017-10-06,NCT01768975; NCT02104050
Relacatib,,GlaxoSmithKline,1,PHASE1,COMPLETED,2006-10-19,2017-10-04,NCT00411190
Atorvastatin,,GlaxoSmithKline,1,PHASE1,COMPLETED,2006-10-19,2017-10-04,NCT00411190
Opioid,,"Janssen Research & Development, LLC",1,PHASE3,COMPLETED,2015-07-07,2017-10-02,NCT02336685
LAYLA tablet,,"PMG Pharm Co., Ltd",2,PHASE4,COMPLETED,2012-10,2017-09-20,NCT02049606; NCT01768468
CENATONE tablet,,"PMG Pharm Co., Ltd",1,PHASE4,COMPLETED,2014-02-24,2017-09-20,NCT02049606
TPX-100 200 mg 4 times weekly for 4 weeks,,"OrthoTrophix, Inc",2,PHASE2,COMPLETED,2016-08,2017-09-19,NCT02837900; NCT02837900
PF-04457845,,Pfizer,2,PHASE2,COMPLETED,2009-11,2017-09-19,NCT00981357; NCT00981357
injection of autologous micro-fragmented adipose tissue (aMAT),,Lipogems International spa,1,PHASE4,UNKNOWN,2017-02-24,2017-08-29,NCT03117608
injection of Platelet-rich Plasma (PRP),,Lipogems International spa,1,PHASE4,UNKNOWN,2017-02-24,2017-08-29,NCT03117608
lacosamide,,UCB Pharma,1,PHASE2,TERMINATED,2007-03,2017-08-28,NCT00485472
Human umbilical cord tissue-derived mesenchymal stem cells,,Translational Biosciences,1,"PHASE1,PHASE2",WITHDRAWN,2014-09,2017-08-10,NCT02237846
Autologous adipose tissue stromal vascular fraction,,Translational Biosciences,1,"PHASE1,PHASE2",WITHDRAWN,2013-06,2017-08-10,NCT01885832
Trophic factors from umbilical cord mesenchymal stem cells,,Translational Biosciences,1,"PHASE1,PHASE2",WITHDRAWN,2013-12,2017-08-10,NCT02003131
CS+SG,,"Tedec-Meiji Farma, S.A.",1,PHASE3,COMPLETED,2013-06,2017-08-04,NCT01893905
GW842166,,GlaxoSmithKline,2,PHASE2,COMPLETED,2007-04,2017-07-11,NCT00447486; NCT00479427
Voltaren® Gel,,Glenmark Pharmaceuticals Ltd. India,1,PHASE3,COMPLETED,2015-08,2017-06-28,NCT02596451
Hydrocodone ER,,"Teva Branded Pharmaceutical Products R&D, Inc.",2,PHASE3,COMPLETED,2010-10,2017-06-05,NCT01240863; NCT01223365
onabotulinumtoxinA,,Allergan,1,PHASE2,COMPLETED,2014-10,2017-05-31,NCT02230956
Human umbilical cord mesenchymal stem cells,,"Shenzhen Hornetcorn Bio-technology Company, LTD",1,PHASE1,COMPLETED,2014-12,2017-05-10,NCT02291926
"MK0966, rofecoxib",,Merck Sharp & Dohme LLC,2,PHASE3,COMPLETED,2003-04-01,2017-05-09,NCT00092352; NCT00092365
DICL-SR,,"Kunming Baker Norton Pharmaceutical Sales Co., Ltd.",1,PHASE4,UNKNOWN,2016-04,2017-05-04,NCT02826031
Cartistem,CARTISTEM,Medipost Co Ltd.,2,PHASE3,COMPLETED,2009-02,2017-04-20,NCT01041001; NCT01626677
Paracetamol 665 mg SR tablets,Paracetamol 1000 mg SR tablets,GlaxoSmithKline,2,PHASE3,COMPLETED,2015-01,2017-04-07,NCT02311881; NCT02311881
"Naproxen Delayed Release Tables, 375 (Gevena Pharmaceuticals, Inc.)",,Sandoz,1,PHASE1,COMPLETED,2002-03,2017-03-28,NCT00959439
"Naproxen (EC-Narosyn) Delayed Release Tables, 375 (Syntex (USA), Inc.)",,Sandoz,1,PHASE1,COMPLETED,2002-03,2017-03-28,NCT00959439
balicatib (AAE581),,Novartis Pharmaceuticals,1,PHASE2,COMPLETED,2004-12,2017-03-28,NCT00371670
Imotun,Imotun capsule,Chong Kun Dang Pharmaceutical,2,PHASE4,COMPLETED,2012-12,2017-03-27,NCT01756937; NCT01743287
REGN475,,Regeneron Pharmaceuticals,3,"PHASE1,PHASE2; PHASE2; PHASE2,PHASE3",COMPLETED; WITHDRAWN,2009-08,2017-03-27,NCT02447276; NCT01239017; NCT00944892
Intra-articular injection of SVF plus PRP,,"Bioheart, Inc.",1,PHASE1,COMPLETED,2012-02-12,2017-03-27,NCT03089762
Rivaroxaban,,"Ortho-McNeil Janssen Scientific Affairs, LLC",1,PHASE3,COMPLETED,2010-03,2017-03-17,NCT01094886
Ketorolac Tromethamine,,Dr. Reddy's Laboratories Limited,1,PHASE4,COMPLETED,2013-03,2017-03-13,NCT02638831
Lumiracoxib,Lumiracoxib (drug); lumiracoxib,Novartis; Novartis Pharmaceuticals,10,PHASE3; PHASE4,COMPLETED,2000-11,2017-02-07,NCT00476034; NCT00367315; NCT00267215; NCT00366938; NCT00267176; NCT00145301; NCT00475800; NCT00419796; NCT00170872; NCT00154219
GW406381,,GlaxoSmithKline,1,PHASE3,COMPLETED,2005-05,2017-01-19,NCT00120900
SD-6010,,Pfizer,4,PHASE2; PHASE3,COMPLETED; WITHDRAWN,2007-11,2016-12-30,NCT01438918; NCT01438918; NCT00565812; NCT00565812
"Apitox, purified honeybee toxin, lyophilized in saline",,"Apimeds, Inc.",1,PHASE3,COMPLETED,2013-12,2016-12-13,NCT01112722
histamine,,"Apimeds, Inc.",1,PHASE3,COMPLETED,2013-12,2016-12-13,NCT01112722
YY1201 3ml,YY1201 2ml,"Yooyoung Pharmaceutical Co., Ltd.",2,"PHASE1,PHASE2",WITHDRAWN,2015-09,2016-11-17,NCT02554552; NCT02554552
AMPION™,,Ampio Pharmaceuticals. Inc.,1,PHASE1,COMPLETED,2016-05,2016-11-15,NCT02762760
Droglican,Chondroitin/Glucosamine (Droglican),Bioiberica,3,PHASE4,COMPLETED; UNKNOWN,2011-09,2016-11-11,NCT02823548; NCT01425853; NCT02821468
CL-108,,"Charleston Laboratories, Inc",1,PHASE3,COMPLETED,2014-10,2016-11-03,NCT02462850
COV155,,Mallinckrodt,1,PHASE3,COMPLETED,2012-11,2016-10-19,NCT01722864
Pelubiprofen CR 45mg tab.,,"Daewon Pharmaceutical Co., Ltd.",1,PHASE4,COMPLETED,2015-08,2016-10-10,NCT02682524
Aceclofenac 100mg tab.,,"Daewon Pharmaceutical Co., Ltd.",1,PHASE4,COMPLETED,2015-08,2016-10-10,NCT02682524
NISE,,Dr. Reddy's Laboratories Limited,1,PHASE4,COMPLETED,2011-03,2016-10-04,NCT02922712
NISELAT,,Dr. Reddy's Laboratories Limited,1,,COMPLETED,2015-02,2016-09-30,NCT02865161
Buprenorphine transdermal patch,Buprenorphine Transdermal Patch,Mundipharma AB; Mundipharma Pharmaceuticals Sdn. Bhd.; Mundipharma Pte Ltd.; Purdue Pharma LP,14,PHASE3; PHASE4,COMPLETED; TERMINATED,2003-04,2016-09-23,NCT00320801; NCT00320801; NCT00312572; NCT01135524; NCT01135524; NCT01135524; NCT01141283; NCT01141283; NCT01141283; NCT01276431; NCT02519387; NCT01961271; NCT00313846; NCT00315458
Motore,,Ache Laboratorios Farmaceuticos S.A.,1,PHASE4,COMPLETED,2015-06,2016-08-25,NCT02409381
Alivium,,Ache Laboratorios Farmaceuticos S.A.,1,PHASE4,COMPLETED,2015-06,2016-08-25,NCT02409381
Standard treatment only,,Cropper Medical,1,NA,COMPLETED,2013-05,2016-07-11,NCT02295020
Paracetamol or oral NSAIDs excluding COX2 inhibitors,,Bioiberica,1,PHASE4,UNKNOWN,2016-06,2016-07-01,NCT02821468
Ex- vivo cultured adult allogeneic MSCs,,Stempeutics Research Pvt Ltd,2,PHASE2,COMPLETED,2011-09,2016-05-12,NCT01453738; NCT01448434
Plasmalyte-A,,Stempeutics Research Pvt Ltd,2,PHASE2,COMPLETED,2011-09,2016-05-12,NCT01453738; NCT01448434
Hylan G-F 20,,Boehringer Ingelheim; Sanofi,2,PHASE4,COMPLETED,1998-10,2016-02-24,NCT01586338; NCT02197026
Maxigesic 325,,"AFT Pharmaceuticals, Ltd.",1,PHASE3,WITHDRAWN,,2016-01-06,NCT01420666
Ultracet,,Merck Sharp & Dohme LLC,1,PHASE1,COMPLETED,2008-06,2015-11-20,NCT00772967
Fasitibant- low dose,Fasitibant- high dose,Menarini Group,2,PHASE2,COMPLETED,2014-04,2015-11-03,NCT02205814; NCT02205814
Fasitibant- intermediate dose,,Menarini Group,1,PHASE2,COMPLETED,2014-04,2015-11-03,NCT02205814
MK0822,,Merck Sharp & Dohme LLC,1,PHASE2,TERMINATED,2006-10,2015-11-02,NCT00397683
PF-00345439,,Pain Therapeutics,1,PHASE3,COMPLETED,2006-04,2015-09-11,NCT01559701
LBSA0103,LBSA0103 (BDDE cross-linked sodium hyaluronate gel),LG Life Sciences,2,PHASE3,COMPLETED,2011-12,2015-09-09,NCT01510535; NCT02122601
PRX167700,,Proximagen Limited,1,PHASE2,COMPLETED,2013-09,2015-08-26,NCT01945346
3VM1001,,"CDA Research Group, Inc.",1,PHASE1,UNKNOWN,2015-02,2015-08-21,NCT02332148
ADL5859,,"Cubist Pharmaceuticals LLC, a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",1,PHASE2,COMPLETED,2009-10,2015-08-14,NCT00979953
ADL5747,,"Cubist Pharmaceuticals LLC, a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",1,PHASE2,COMPLETED,2009-10,2015-08-14,NCT00979953
Meloxicam Test Capsules,,"Iroko Pharmaceuticals, LLC",5,PHASE2; PHASE3,COMPLETED; WITHDRAWN,2013-02,2015-07-10,NCT01787188; NCT01787188; NCT01801735; NCT02405793; NCT02405793
Buprenorphine,buprenorphine,Mundipharma (China) Pharmaceutical Co. Ltd; Napp Pharmaceuticals Limited; Norpharma A/S; Purdue Pharma LP,6,PHASE1; PHASE3; PHASE4,COMPLETED; TERMINATED,2004-04,2015-07-08,NCT00531427; NCT00312221; NCT00312221; NCT01643759; NCT00426647; NCT00324038
"Buprenorphine 5mg, 10mg, 20mg vs Tramadol 100mg",,Mundipharma Korea Ltd,1,PHASE4,COMPLETED,2008-03,2015-07-08,NCT01019265
A/B,,"Transdermal Therapeutics, Inc.",1,EARLY_PHASE1,UNKNOWN,2015-07,2015-06-30,NCT02485145
B/A,,"Transdermal Therapeutics, Inc.",1,EARLY_PHASE1,UNKNOWN,2015-07,2015-06-30,NCT02485145
Guli capsule,,Guizhou Bailing Group Pharmaceutical Co Ltd,1,PHASE4,UNKNOWN,2015-03,2015-06-29,NCT02484508
Kangguzengsheng capsule,,Guizhou Bailing Group Pharmaceutical Co Ltd,1,PHASE4,UNKNOWN,2015-03,2015-06-29,NCT02484508
HKT-500 Topical Patch,,"Hisamitsu Pharmaceutical Co., Inc.",1,PHASE2,COMPLETED,2008-03,2015-06-04,NCT00647231
"diclofenac diethylamine, DDEA 2.32% gel",,Novartis,1,PHASE3,COMPLETED,2013-10,2015-06-03,NCT01967550
MK0782,,Merck Sharp & Dohme LLC,1,PHASE2,TERMINATED,2004-08,2015-06-02,NCT00543465
Imrecoxib,,"Jiangsu HengRui Medicine Co., Ltd.",3,PHASE1; PHASE4,UNKNOWN,2013-05,2015-05-28,NCT02456688; NCT02426060; NCT01985165
Imotun capsule placebo,,Chong Kun Dang Pharmaceutical,1,PHASE4,COMPLETED,2012-12,2015-04-30,NCT01743287
JOINS tablet,JOINS 200mg,"PMG Pharm Co., Ltd; SK Chemicals Co., Ltd.",2,PHASE4,COMPLETED,2010-08,2015-04-24,NCT01293955; NCT01768468
Warfarin,,"Jiangsu HengRui Medicine Co., Ltd.",1,PHASE1,UNKNOWN,2015-01,2015-04-24,NCT02426060
gevokizumab,,XOMA (US) LLC,3,NA; PHASE2,COMPLETED,2012-07,2015-02-19,NCT02293564; NCT01683396; NCT01882491
MK0686,,Merck Sharp & Dohme LLC,1,PHASE2,COMPLETED,2005-09,2014-12-24,NCT00296569
AMG 403,,Amgen,1,PHASE1,COMPLETED,2006-12,2014-12-17,NCT02318407
AKR 202,,Akron Molecules AG,1,PHASE2,COMPLETED,2013-10,2014-10-23,NCT02003118
SAR113945,,Sanofi,4,PHASE1; PHASE2,COMPLETED,2010-04,2014-10-17,NCT01463488; NCT01598415; NCT01113333; NCT01511549
Verapamil,,"Calosyn Pharma, Inc.",1,"PHASE1,PHASE2",TERMINATED,2012-04,2014-09-05,NCT01645709
PH-797804,,Pfizer,2,PHASE2,COMPLETED,2010-05,2014-08-22,NCT01102660; NCT01102660
Naproxen + PH-797804,,Pfizer,2,PHASE2,COMPLETED,2010-05,2014-08-22,NCT01102660; NCT01102660
botulinum toxin Type A,,Allergan,1,"PHASE1,PHASE2",COMPLETED,2012-01,2014-08-07,NCT01518257
AS902330,,"Merck KGaA, Darmstadt, Germany",2,PHASE1,COMPLETED,2007-11,2014-08-05,NCT01033994; NCT00911469
Synvisc®,,Boehringer Ingelheim,3,,COMPLETED,1998-10,2014-07-22,NCT02195492; NCT02195544; NCT02195557
Standard treatment,,Boehringer Ingelheim,1,PHASE4,COMPLETED,1998-10,2014-07-22,NCT02197026
MOBEC,,Boehringer Ingelheim,1,,COMPLETED,2001-05,2014-07-09,NCT02182726
Other Non Steroidal Anti-Inflammatory Drugs (NSAIDs) except etodolac,,Boehringer Ingelheim,1,,COMPLETED,2001-10,2014-07-08,NCT02180516
FLOSEAL Hemostatic Matrix + Standard of care,,Baxter Healthcare Corporation,1,PHASE4,COMPLETED,2011-09,2014-06-06,NCT01410240
Tapentadol (CG5503) ER,Tapentadol (CG5503) Extended Release (ER),"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",2,PHASE3,COMPLETED,2006-11,2014-05-09,NCT00361504; NCT00487435
OraVescent Fentanyl,,Cephalon,2,PHASE3,COMPLETED,2005-03,2014-05-09,NCT00343733; NCT00228605
CRx-102 (2.7/90),CRx-102 (2.7/180); CRx-102 (2.7/360),Zalicus,3,PHASE2,TERMINATED,2007-08,2014-04-29,NCT00521989; NCT00521989; NCT00521989
fentanyl matrix,,"Janssen Korea, Ltd., Korea",2,,COMPLETED,2008-08,2014-04-28,NCT01119885; NCT01119885
fentanyl,Fentanyl,"Janssen Pharmaceutica; Janssen Pharmaceutica N.V., Belgium; Janssen Pharmaceutical K.K.",3,PHASE3; PHASE4,COMPLETED,2002-06,2013-12-25,NCT01008618; NCT01795898; NCT00236366
glucosamine sulfate /chondroitin sulfate - sachet,,Ache Laboratorios Farmaceuticos S.A.,1,PHASE3,COMPLETED,2009-02,2013-12-13,NCT02010918
V116517 50-mg tablets,,Purdue Pharma LP,1,PHASE2,COMPLETED,2012-09,2013-12-05,NCT01688934
V116517 30-mg tablets,,Purdue Pharma LP,1,PHASE2,COMPLETED,2012-09,2013-12-05,NCT01688934
Shinbaro Capsule,,Green Cross Corporation,2,PHASE3; PHASE4,COMPLETED,2009-05,2013-11-13,NCT01535417; NCT01604239
BI 113823,,Boehringer Ingelheim,1,PHASE1,TERMINATED,2010-09,2013-11-05,NCT01207973
Meloxicam ampoule,,Boehringer Ingelheim,1,PHASE3,COMPLETED,2004-07,2013-11-01,NCT00239395
Tramadol Hydrochloride Plus Acetaminophen,Tramadol Hydrochloride Plus Acetaminophen (Double-Blind); Tramadol Hydrochloride Plus Acetaminophen (Open-Label),"Janssen Korea, Ltd., Korea; Janssen Pharmaceutical K.K.",3,PHASE3; PHASE4,COMPLETED,2007-05,2013-09-26,NCT00635349; NCT00736853; NCT00736853
ALO-01 (Morphine Sulfate Plus Naltrexone Hydrochloride Extended Release),,Pfizer,1,PHASE3,COMPLETED,2006-12,2013-09-20,NCT00420992
SI000413,,"Dong-A Pharmaceutical Co., Ltd.",1,PHASE2,UNKNOWN,2012-01,2013-08-13,NCT01525758
microcrystalline cellulose,,"Dong-A Pharmaceutical Co., Ltd.",1,PHASE2,UNKNOWN,2012-01,2013-08-13,NCT01525758
"Etoricoxib, followed by placebo (matching tablet, without active ingredient)",,C4Pain,1,PHASE2,COMPLETED,2012-07,2013-07-23,NCT01619150
Aceclofenac,,"Janssen Korea, Ltd., Korea",1,PHASE4,COMPLETED,2007-05,2013-07-22,NCT00635349
OROS hydromorphone HCI (slow release),,"Alza Corporation, DE, USA",1,PHASE3,COMPLETED,2003-11,2013-07-08,NCT00411164
TTS-fentanyl,,"Janssen-Cilag Ltd.,Thailand",2,PHASE4,COMPLETED,2008-08,2013-07-03,NCT01742897; NCT01774929
PF-04191834,,Pfizer,4,PHASE2,TERMINATED,2010-07,2013-06-06,NCT01147458; NCT01147458; NCT01147458; NCT01147458
PF-04191834 placebo,,Pfizer,4,PHASE2,TERMINATED,2010-07,2013-06-06,NCT01147458; NCT01147458; NCT01147458; NCT01147458
Naproxen placebo,,Pfizer,2,PHASE2,TERMINATED,2010-07,2013-06-06,NCT01147458; NCT01147458
ABT-652 NSAID,,"AbbVie (prior sponsor, Abbott)",1,PHASE2,COMPLETED,2011-10,2013-05-15,NCT01444365
MEN16132 - 0.5 mg,MEN16132 - 0.125 mg; MEN16132 - 0.25 mg,Menarini Group,4,PHASE2,COMPLETED,2010-03,2013-02-18,NCT01091116; NCT01091116; NCT01091116; NCT01091116
Tramadol/Paracetamol (APAP),,Janssen Pharmaceutica,1,PHASE4,COMPLETED,2007-10,2013-02-12,NCT01728246
Non-Tramadol/APAP,,Janssen Pharmaceutica,1,PHASE4,COMPLETED,2007-10,2013-02-12,NCT01728246
MEDI-578,,AstraZeneca,1,PHASE1,TERMINATED,2010-02,2013-01-29,NCT01072591
Hyruan Plus,,LG Life Sciences,1,PHASE3,COMPLETED,2011-12,2013-01-17,NCT01510535
ABT-652,,"AbbVie (prior sponsor, Abbott)",1,PHASE2,COMPLETED,2010-09,2013-01-07,NCT01207115
PF-05089771,,Pfizer,5,PHASE1,COMPLETED,2012-01,2012-12-12,NCT01529671; NCT01529671; NCT01529671; NCT01529671; NCT01529671
Ostenil plus,,TRB Chemedica,1,PHASE2,COMPLETED,2011-03,2012-11-21,NCT01288001
Sodium Hyaluronate (Hyalgan),,TRB Chemedica,1,PHASE2,COMPLETED,2009-02,2012-11-21,NCT01267214
Chondroitin sulphate,Chondroitin sulphate (Condrosan); Chondroitin sulphate (Condrosan®),Bioiberica,3,PHASE3; PHASE4,COMPLETED; UNKNOWN,2008-02,2012-10-02,NCT01226615; NCT00669123; NCT00604539
Esomeprazole,Esomeprazole 20 mg,AstraZeneca,2,PHASE3,COMPLETED,2007-08,2012-09-14,NCT00595517; NCT00542789
oxycodone immediate-release,,Purdue Pharma LP,1,PHASE3,TERMINATED,2004-04,2012-09-10,NCT00312221
JNJ-39439335,,"Janssen Research & Development, LLC",2,PHASE1,COMPLETED,2011-03,2012-08-09,NCT01343303; NCT01343303
Dexibuprofen,,Gebro Pharma GmbH,1,PHASE4,COMPLETED,2009-10,2012-07-10,NCT01066676
tramadol HCl ER; celecoxib,,"Bausch Health Americas, Inc.",1,PHASE3,COMPLETED,2002-09,2012-06-21,NCT00348452
Transdermal Ketoprofen Patch with CHADD,,ZARS Pharma Inc.,1,PHASE2,COMPLETED,2005-04,2012-06-05,NCT00108810
ZR-02-01 Fentanyl Transdermal Matrix Patch,,ZARS Pharma Inc.,1,PHASE2,COMPLETED,2004-04,2012-06-05,NCT00108771
AZD1386,,AstraZeneca,2,PHASE2,TERMINATED,2009-03,2012-06-04,NCT00878501; NCT00878501
ThermoProfen™ (Matrix Transdermal Ketoprofen/CHADD™ System),,ZARS Pharma Inc.,2,PHASE3,COMPLETED; TERMINATED,2007-06,2012-05-30,NCT00488267; NCT00532038
Ketoprofen matrix/placebo CHADD Patch,,ZARS Pharma Inc.,1,PHASE3,COMPLETED,2007-06,2012-05-30,NCT00488267
Tramadol Once A Day,Tramadol HCl Twice a day; Tramadol Once a day,Labopharm Inc.,5,PHASE3,COMPLETED,2002-03,2012-04-30,NCT00852917; NCT00833911; NCT00833794; NCT00832416; NCT00950651
Tramadol OAD,Tramadol OAD 100mg,Labopharm Inc.,4,PHASE3,COMPLETED,2002-03,2012-04-30,NCT00912015; NCT00912015; NCT00912015; NCT00912015
Tramadol HCl Contramid® Once A Day,,Labopharm Inc.,1,PHASE3,COMPLETED,2002-03,2012-04-30,NCT00950651
LY545694 49 mg,LY545694 105 mg,Eli Lilly and Company,2,PHASE2,COMPLETED,2008-11,2012-04-17,NCT00790790; NCT00790790
PG201 tablet,,"PMG Pharm Co., Ltd",1,PHASE3,COMPLETED,2010-01,2012-04-12,NCT01576419
PN 400 (VIMOVO),,POZEN,3,PHASE3,COMPLETED,2007-03,2012-02-27,NCT00665431; NCT00664560; NCT00527904
Rescue Antacid,,POZEN,2,PHASE3,COMPLETED,2008-04,2012-02-27,NCT00665431; NCT00664560
zolpidem,,Sanofi,1,PHASE4,COMPLETED,2003-03,2012-02-17,NCT00530556
HOE140 Icatibant,,Sanofi,1,PHASE2,COMPLETED,2006-02,2012-02-17,NCT00303056
oxycodone IR,,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,PHASE3,COMPLETED,2008-10,2012-02-13,NCT00784277
Tapentadol IR (CG5503),,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",2,PHASE3,COMPLETED,2008-10,2012-02-13,NCT00784277; NCT00784277
Bone morphogenetic protein 7,,Stryker Biotech,2,PHASE1; PHASE2,COMPLETED,2010-04,2012-02-01,NCT01111045; NCT01133613
Rebamipide,,"Korea Otsuka Pharmaceutical Co., Ltd.",1,PHASE3,COMPLETED,2007-12,2011-11-16,NCT00576706
PG-530742,100 mg PG-530742; 200 mg PG-530742; 50 mg PG-530742,Procter and Gamble,4,PHASE2,COMPLETED,2002-07,2011-11-08,NCT00041756; NCT00041756; NCT00041756; NCT00041756
Rofecoxib,rofecoxib,Johnson & Johnson Consumer and Personal Products Worldwide; Novartis,3,PHASE3,COMPLETED,1999-10,2011-08-22,NCT00568295; NCT00568295; NCT00637949
Milnacipran,,Analgesic Solutions,1,PHASE4,UNKNOWN,2011-07,2011-08-17,NCT01329406
3%-Diclofenac-Nano-Emulsion Cream,,Pharmos,1,PHASE2,COMPLETED,2007-06,2011-08-02,NCT00484120
Naproxcinod,Naproxcinod 375 mg; Naproxcinod 375 mg bid; Naproxcinod 750 mg; Naproxcinod 750 mg bid; naproxcinod 375 mg -750 mg -1125 mg bid; naproxcinod 375 mg bid; naproxcinod 750 mg bid,NicOx,8,PHASE1; PHASE3,COMPLETED,2005-12,2011-06-17,NCT00541489; NCT00662610; NCT00504127; NCT00504127; NCT00542555; NCT00542555; NCT00662896; NCT00662896
CG5503 IR; tapentadol,,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,PHASE3,COMPLETED,2006-10,2011-06-15,NCT00361582
Civamide,Civamide (Zucapsaicin),Winston Laboratories,2,PHASE3,COMPLETED,2003-06,2011-06-10,NCT00077935; NCT00995306
CG 5503;tapentadol,,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,PHASE3,COMPLETED,2006-07,2011-06-09,NCT00364546
PG110,,Abbott,8,PHASE1,COMPLETED,2009-08,2011-06-07,NCT00941746; NCT00941746; NCT00941746; NCT00941746; NCT00941746; NCT00941746; NCT00941746; NCT00941746
Tramadol Hydrochloride; JNS013,,Janssen Pharmaceutical K.K.,1,PHASE2,COMPLETED,2007-06,2011-05-17,NCT00752661
PF-000592379,,Pfizer,1,PHASE2,TERMINATED,2007-06,2011-04-29,NCT00483977
hydrocodone / acetaminophen extended release,,Abbott,1,PHASE3,COMPLETED,2006-02,2011-01-25,NCT00298974
LT-NS001,,Logical Therapeutics,1,"PHASE2,PHASE3",COMPLETED,2010-02,2011-01-24,NCT01063920
Naprosyn®,,Logical Therapeutics,1,"PHASE2,PHASE3",COMPLETED,2010-02,2011-01-24,NCT01063920
Extended-Release Hydrocodone/Acetaminophen,,Abbott,1,PHASE2,COMPLETED,2004-08,2011-01-19,NCT00404183
Fentanyl transdermal patch,,"Janssen Pharmaceutica N.V., Belgium",1,PHASE4,COMPLETED,2001-07,2010-11-25,NCT00524160
"DLX105, a single-chain (scFv) antibody fragment against TNF-alpha",,ESBATech AG,1,"PHASE1,PHASE2",COMPLETED,2008-12,2010-09-24,NCT00819572
PN400 (VIMOVO),,POZEN,1,PHASE3,COMPLETED,2007-03,2010-08-31,NCT00527904
JNJ-39439335; Placebo; Naproxen,,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,PHASE1,COMPLETED,2009-08,2010-08-02,NCT00933582
Glucosamine sulfate + chondroitin sulfate - MANTECORP,,Mantecorp Industria Quimica e Farmaceutica Ltd.,1,PHASE3,UNKNOWN,,2010-07-29,NCT01172249
Glucosamine sulfate + chondroitin sulfate - CONDROFLEX,,Mantecorp Industria Quimica e Farmaceutica Ltd.,1,PHASE3,UNKNOWN,,2010-07-29,NCT01172249
