form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
20-F,2024-01-31,2023-12-31,,0001370368-24-000004,https://www.sec.gov/Archives/edgar/data/1114448/000137036824000004/nvs-20231231.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036824000004/
6-K,2024-01-08,2024-01-08,,0001171843-24-000110,https://www.sec.gov/Archives/edgar/data/1114448/000117184324000110/f6k_010824.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184324000110/
6-K,2023-12-11,2023-12-11,,0001171843-23-007527,https://www.sec.gov/Archives/edgar/data/1114448/000117184323007527/f6k_121123.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184323007527/
6-K,2023-12-06,2023-12-05,,0001171843-23-007448,https://www.sec.gov/Archives/edgar/data/1114448/000117184323007448/f6k_120523.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184323007448/
6-K,2023-11-28,2023-11-28,,0001171843-23-007295,https://www.sec.gov/Archives/edgar/data/1114448/000117184323007295/f6k_112823.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184323007295/
6-K,2023-10-30,2023-10-30,,0001171843-23-006515,https://www.sec.gov/Archives/edgar/data/1114448/000117184323006515/f6k_103023.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184323006515/
6-K,2023-10-24,2023-09-30,,0001370368-23-000068,https://www.sec.gov/Archives/edgar/data/1114448/000137036823000068/a231024-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036823000068/
6-K,2023-10-04,2023-10-04,,0001171843-23-006034,https://www.sec.gov/Archives/edgar/data/1114448/000117184323006034/f6k_100423.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184323006034/
6-K,2023-10-02,2023-10-02,,0001171843-23-005961,https://www.sec.gov/Archives/edgar/data/1114448/000117184323005961/f6k_100223.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184323005961/
6-K,2023-09-05,2023-09-05,,0001171843-23-005541,https://www.sec.gov/Archives/edgar/data/1114448/000117184323005541/f6k_090523.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184323005541/
6-K,2023-08-21,2023-08-18,,0001171843-23-005373,https://www.sec.gov/Archives/edgar/data/1114448/000117184323005373/f6k_081823.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184323005373/
6-K,2023-08-09,2023-08-09,,0001171843-23-005125,https://www.sec.gov/Archives/edgar/data/1114448/000117184323005125/f6k_090823.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184323005125/
6-K,2023-07-18,2023-06-30,,0001370368-23-000059,https://www.sec.gov/Archives/edgar/data/1114448/000137036823000059/nvs-20230630.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036823000059/
6-K,2023-07-10,2023-07-07,,0001171843-23-004422,https://www.sec.gov/Archives/edgar/data/1114448/000117184323004422/f6k_070723.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184323004422/
6-K,2023-06-12,2023-06-12,,0001171843-23-003863,https://www.sec.gov/Archives/edgar/data/1114448/000117184323003863/f6k_061223.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184323003863/
6-K,2023-04-25,2023-03-31,,0001370368-23-000046,https://www.sec.gov/Archives/edgar/data/1114448/000137036823000046/a230425-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036823000046/
6-K,2023-03-27,2023-03-27,,0001171843-23-001905,https://www.sec.gov/Archives/edgar/data/1114448/000117184323001905/f6k_032723.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184323001905/
6-K,2023-02-01,2022-12-31,,0001370368-23-000009,https://www.sec.gov/Archives/edgar/data/1114448/000137036823000009/a230201-nisar_6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036823000009/
6-K,2023-02-01,2022-12-31,,0001370368-23-000008,https://www.sec.gov/Archives/edgar/data/1114448/000137036823000008/a230201-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036823000008/
20-F,2023-02-01,2022-12-31,,0001370368-23-000006,https://www.sec.gov/Archives/edgar/data/1114448/000137036823000006/nvs-20221231.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036823000006/
6-K,2022-12-05,2022-12-05,,0001171843-22-007817,https://www.sec.gov/Archives/edgar/data/1114448/000117184322007817/f6k_120522.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184322007817/
6-K,2022-10-25,2022-09-30,,0001370368-22-000077,https://www.sec.gov/Archives/edgar/data/1114448/000137036822000077/a221025-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036822000077/
6-K,2022-10-24,2022-10-24,,0001171843-22-006695,https://www.sec.gov/Archives/edgar/data/1114448/000117184322006695/f6k_102422.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184322006695/
6-K,2022-09-21,2022-09-21,,0001171843-22-006161,https://www.sec.gov/Archives/edgar/data/1114448/000117184322006161/f6k_092122.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184322006161/
6-K,2022-08-25,2022-08-25,,0001171843-22-005820,https://www.sec.gov/Archives/edgar/data/1114448/000117184322005820/f6k_082522.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184322005820/
6-K,2022-07-19,2022-06-30,,0001370368-22-000059,https://www.sec.gov/Archives/edgar/data/1114448/000137036822000059/nvs-20220630.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036822000059/
6-K,2022-06-21,2022-06-21,,0001171843-22-004443,https://www.sec.gov/Archives/edgar/data/1114448/000117184322004443/f6k_062122.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184322004443/
6-K,2022-04-26,2022-03-31,,0001370368-22-000038,https://www.sec.gov/Archives/edgar/data/1114448/000137036822000038/a220426-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036822000038/
6-K,2022-04-04,2022-04-04,,0001171843-22-002295,https://www.sec.gov/Archives/edgar/data/1114448/000117184322002295/f6k_040422.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184322002295/
