form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
8-K,2021-08-03,2021-08-03,"2.02,9.01",0001396814-21-000048,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000048/pcrx-20210803.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000048/
8-K,2021-07-13,2021-07-13,"2.02,9.01",0001396814-21-000044,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000044/pcrx-20210713.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000044/
8-K,2021-06-17,2021-06-16,5.02,0001396814-21-000040,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000040/pcrx-20210616.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000040/
8-K,2021-06-11,2021-06-08,"5.02,5.07,9.01",0001104659-21-080152,https://www.sec.gov/Archives/edgar/data/1396814/000110465921080152/tm2119430d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465921080152/
8-K,2021-06-08,2021-06-08,"2.02,9.01",0001396814-21-000037,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000037/pcrx-20210608.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000037/
8-K,2021-05-11,2021-05-11,"2.02,9.01",0001396814-21-000034,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000034/pcrx-20210511.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000034/
10-Q,2021-05-04,2021-03-31,,0001396814-21-000031,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000031/pcrx-20210331.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000031/
8-K,2021-05-04,2021-05-04,"2.02,9.01",0001396814-21-000029,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000029/pcrx-20210504.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000029/
8-K,2021-04-07,2021-04-07,"2.02,9.01",0001396814-21-000024,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000024/pcrx-20210407.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000024/
8-K,2021-03-23,2021-03-22,"7.01,9.01",0001396814-21-000021,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000021/pcrx-20210322.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000021/
8-K,2021-03-09,2021-03-09,"2.02,9.01",0001396814-21-000018,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000018/pcrx-20210309.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000018/
10-K,2021-03-01,2020-12-31,,0001396814-21-000014,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000014/pcrx-20201231.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000014/
8-K,2021-02-25,2021-02-25,"2.02,9.01",0001396814-21-000010,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000010/pcrx-20210225.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000010/
8-K,2021-02-10,2021-02-10,"2.02,9.01",0001396814-21-000005,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000005/pcrx-20210210.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000005/
8-K,2021-01-07,2021-01-07,"2.02,9.01",0001396814-21-000003,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000003/pcrx-20210107.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000003/
